,Survived
708,1
240,0
382,0
792,0
683,0
119,0
287,0
313,0
29,0
55,1
413,0
594,0
301,1
364,0
82,1
695,0
371,0
555,0
478,0
780,1
724,1
409,0
261,1
534,0
515,0
761,0
500,0
712,1
810,0
495,0
310,1
604,1
488,0
245,0
468,0
766,0
7,0
232,0
156,1
705,0
425,0
102,0
200,0
399,1
669,1
376,1
458,1
732,0
507,1
830,1
2,1
356,1
502,0
260,0
623,0
159,0
517,0
828,1
813,0
329,1
586,0
686,0
432,1
522,0
716,1
353,0
483,1
659,0
653,1
213,0
449,1
80,0
149,0
837,0
60,0
540,1
877,0
799,0
378,0
327,1
134,0
463,0
543,1
465,0
454,0
632,1
693,0
741,0
430,1
486,1
293,0
173,0
450,0
361,0
332,0
800,0
91,0
834,0
182,0
469,1
794,0
70,0
132,0
334,1
681,1
136,1
165,1
28,1
494,0
194,1
487,0
711,0
840,0
381,1
141,1
174,0
6,0
576,1
445,1
74,1
670,1
328,1
663,0
146,1
235,0
221,0
526,1
389,1
133,1
820,1
324,0
186,1
41,0
546,1
109,1
421,0
56,1
322,1
347,1
496,1
24,0
351,0
429,1
434,0
51,0
752,0
815,0
568,0
265,0
889,1
612,1
410,0
352,0
18,0
707,1
339,0
84,1
62,0
273,0
286,1
358,1
735,0
12,0
183,1
406,0
630,1
224,1
513,1
627,1
391,1
636,0
523,1
545,0
177,0
599,1
441,0
164,0
249,0
569,1
786,1
75,0
114,0
597,0
533,1
105,0
115,0
368,1
93,0
548,0
90,0
337,1
879,1
816,0
827,1
542,0
676,0
95,0
11,1
431,1
43,1
42,0
330,1
168,0
778,0
536,0
767,0
868,0
179,0
582,0
847,0
592,0
178,0
607,1
709,1
614,0
384,0
258,1
437,1
336,0
550,1
15,1
3,1
692,1
257,1
451,0
596,1
865,1
394,1
223,0
524,0
452,0
603,0
325,1
529,0
9,1
250,0
22,1
357,0
222,0
600,1
765,1
874,1
527,0
341,1
742,1
519,0
204,1
238,0
94,0
484,1
440,1
558,1
285,0
185,0
718,0
479,1
154,0
76,0
789,0
549,1
278,0
69,0
714,0
189,0
272,1
661,0
736,0
237,1
89,0
756,0
118,0
126,0
803,1
290,1
239,0
0,0
881,0
880,1
775,0
396,0
530,1
127,1
279,1
690,1
117,0
229,0
621,1
654,0
818,0
824,0
275,1
319,1
605,0
145,0
697,1
715,0
808,0
641,1
370,1
269,1
622,1
308,0
424,0
311,1
355,0
46,0
350,0
372,0
480,0
733,0
262,0
196,0
890,0
743,0
108,0
866,1
59,0
657,0
264,0
843,0
101,0
444,1
491,0
606,0
798,0
639,0
170,0
180,0
305,1
342,0
57,0
858,1
150,0
125,1
793,0
50,0
354,0
822,0
143,0
471,0
400,1
854,0
321,0
19,1
723,0
706,1
408,0
710,1
38,0
176,0
246,0
747,1
831,1
673,1
763,1
155,0
288,1
539,1
17,1
128,1
323,1
256,1
591,1
856,1
191,0
116,0
552,0
181,0
302,0
678,0
637,0
774,1
882,0
595,0
518,1
875,1
45,0
864,0
158,0
685,0
172,1
16,0
512,1
48,0
888,0
855,1
516,1
616,0
481,0
284,0
588,0
226,1
26,0
698,0
438,0
844,0
365,0
230,1
37,0
857,1
375,1
470,0
859,0
757,0
650,0
195,1
759,1
768,0
504,1
861,0
740,1
580,1
860,0
163,0
629,0
153,0
624,0
696,0
674,0
112,0
227,0
617,0
104,0
422,0
420,0
587,1
120,0
53,1
152,0
404,0
839,1
208,1
751,1
680,0
8,1
721,0
36,1
453,1
254,0
304,0
666,0
572,1
635,1
644,1
263,0
611,0
298,1
415,0
151,1
704,0
788,1
551,0
489,1
148,0
147,0
645,1
825,0
660,1
349,0
464,0
326,0
187,1
124,0
758,0
609,1
144,0
851,0
198,1
610,0
280,0
294,0
401,0
123,1
184,1
203,0
439,0
247,1
416,1
787,0
130,0
638,0
403,0
848,0
688,0
809,1
220,1
642,0
811,0
671,0
814,0
625,0
746,0
679,1
387,1
863,0
510,1
268,1
731,0
442,0
497,0
113,0
233,1
773,0
608,1
672,0
374,0
872,0
750,1
234,0
884,0
677,1
318,1
649,1
411,0
797,1
359,1
259,1
628,0
633,0
283,1
377,0
385,0
225,0
846,0
795,0
473,1
348,1
506,1
640,0
878,0
823,1
802,1
620,0
760,0
646,0
753,0
557,0
850,0
578,0
86,0
243,0
699,0
160,0
525,0
35,0
541,0
171,0
655,0
762,1
754,1
838,1
96,0
564,0
241,1
575,0
691,1
461,0
554,1
779,1
207,1
393,1
398,0
755,1
218,1
4,0
643,1
796,1
613,0
739,0
547,1
726,1
684,0
99,0
728,0
574,0
407,1
503,0
47,1
32,1
201,0
135,0
27,0
781,1
231,0
490,0
379,0
289,1
419,0
675,0
392,0
593,0
499,0
139,0
63,0
472,1
648,0
129,0
867,0
521,0
65,1
14,0
157,0
40,0
493,0
380,1
188,0
764,0
